제목,브랜드,방,가격
일가 쉐어하우스,3호점_합정/망원역점 103호 - 2인실 (2층침대),#여성전용 #셰어하우스,150 / 37만원 (2인실)
어울림,합정4호점 2인실 큰방,#여성전용 #셰어하우스,100 / 40만원 (2인실)
코코쉐어하우스,효창동점 2인실,#여성전용 #셰어하우스,100 / 40만원 (2인실)
홈스케치,합정1호점 Room C,#성별무관 #셰어하우스,66 / 33만원 (2인실)
Urban square,청파점 Room C,#여성전용 #셰어하우스,90 / 46만원 (1인실)
동화,피클 공덕2호점 1인실,#여성전용 #셰어하우스,100 / 35만원 (1인실)
어울림,합정2호점 2인실욕실룸,#여성전용 #셰어하우스,100 / 40만원 (2인실)
공감,광흥창역점(서강) A룸 일인실,#남성전용 #셰어하우스,120 / 60만원 (1인실)
폼폼 쉐어하우스,망원점 Room-C,#여성전용 #셰어하우스,100 / 50만원 (1인실)
메리골드 셰어하우스,망원역점 Room A,#여성전용 #셰어하우스,50 / 48만원 (1인실)
브로콜리 하우스,망원 1호점 Room B,#남성전용 #셰어하우스,50 / 43만원 (1인실)
CS 쉐어하우스,망원 4호점 2인실,#여성전용 #셰어하우스,50 / 37만원 (2인실)
CS 쉐어하우스,망원 3호점 2인실,#여성전용 #셰어하우스,50 / 33만원 (2인실)
CS 쉐어하우스,망원 1호점 2인실,#여성전용 #셰어하우스,50 / 33만원 (2인실)
CS 쉐어하우스,망원 2호점 1인실,#여성전용 #셰어하우스,50 / 43만원 (1인실)
팸하우스,상수점 Room B,#여성전용 #셰어하우스,100 / 33만원 (2인실)
더합 쉐어하우스,합정점 Room B,#여성전용 #셰어하우스,34 / 34만원 (2인실)
캑터스 하우스,망원점 Single 1,#남성전용 #셰어하우스,44 / 44만원 (1인실)
바운드쉐어,망원한강점 2인실,#여성전용 #셰어하우스,100 / 45만원 (2인실)
제인스하우스,공덕점 D룸,#여성전용 #셰어하우스,92 / 46만원 (1인실)
셰어하우스 THE PLANET,망원점 1인실 A,#여성전용 #셰어하우스,100 / 48만원 (1인실)
