업체명,지점명,성별전용,보증금,월세,인실
우주,67호점,여성전용,84만원,34만원,1인실
자몽 셰어하우스,한성대성북점,남성전용,100만원,30만원,1인실
동거동락,31A호점,여성전용,119만원,51만원,1인실
동거동락,31C호점,여성전용,115만원,49만원,1인실
MK코하우징,연희점,남성전용,100만원,50만원,1인실
에이블하우스,정릉 1호점,여성전용,100만원,42만원,2인실
공상가,연세 1호점,여성전용,108만원,54만원,1인실
위아영 쉐어하우스,아현점,여성전용,100만원,40만원,2인실
아띠 쉐어빌리지,팝 하우스 충정로점,남성전용,50만원,35만원,1인실
공상가,연세 2호점,여성전용,108만원,54만원,1인실
홈스케치,아현2호점,여성전용,76만원,38만원,2인실
Calm&Mood,연희 1호점,여성전용,100만원,25만원,3인실
플레몬 쉐어하우스,13호점,성별무관,50만원,42만원,1인실
UrbanShares,OneNam206 E4~E5,남성전용,100만원,58만원,2인실
잇츠하우스,이대점,여성전용,100만원,40만원,2인실
온더로드 쉐어하우스,대학로점,여성전용,80만원,31만원,3인실
UrbanShares,1stHQ HQ505,성별무관,100만원,72만원,1인실
핀휠 쉐어하우스,이대3호점,여성전용,80만원,33만원,2인실
핀휠 쉐어하우스,연대 1호점,여성전용,80만원,37만원,2인실
핀휠 쉐어하우스,이대1호점,여성전용,80만원,34만원,3인실
핀휠 쉐어하우스,신도림점,여성전용,80만원,34만원,2인실
핀휠 쉐어하우스,이대4호점,여성전용,80만원,33만원,2인실
핀휠 쉐어하우스,이대2호점,남성전용,80만원,33만원,2인실
마주봄 쉐어하우스,혜화 6호점,여성전용,100만원,50만원,1인실
플레몬 쉐어하우스,19호점,성별무관,50만원,30만원,2인실
플레몬 쉐어하우스,20호점,성별무관,50만원,60만원,1인실
프리모,신촌이대점,여성전용,98만원,49만원,2인실
바다,연남동 : 2호 C Room,여성전용,4000만원,0만원,1인실
바다,연남동 : 1호 A Room,여성전용,80만원,40만원,2인실
러브앤피스 쉐어하우스,아현점,여성전용,100만원,45만원,1인실
우주,50호점,여성전용,109만원,46만원,1인실
서로가 쉐어하우스,충정로점,여성전용,50만원,39만원,3인실
자다,한성대_성대점,여성전용,60만원,30만원,3인실
STORYHOUSE,낙타점,남성전용,45만원,45만원,1인실
함께,신촌역점,여성전용,50만원,25만원,4인실
우주,92호점,여성전용,116만원,50만원,1인실
달램쉐어하우스,이대2호점,여성전용,600만원,26만원,1인실
Calm&Mood,혜화 20호점,여성전용,100만원,42만원,2인실
우주,53호점,여성전용,90만원,37만원,2인실
로이쉐어하우스,연남동점,여성전용,40만원,40만원,2인실
동화,홍대점,여성전용,70만원,68만원,2인실
엘르빌 셰어하우스,연남동점,여성전용,55만원,50만원,1인실
달램쉐어하우스,홍대입구점,여성전용,600만원,24만원,1인실
잠자리,정릉역 : 21호점,여성전용,100만원,45만원,1인실
동거동락,3호 연세대점,여성전용,84만원,39만원,2인실
자몽 셰어하우스,대학로점,여성전용,300만원,35만원,3인실
쉐어하우스 보통,아현 3호점,여성전용,70만원,32만원,3인실
쉐어하우스 보통,아현점,여성전용,106만원,53만원,2인실
쉐어하우스 보통,아현 2호점,여성전용,110만원,55만원,1인실
세이프헤븐,DMC점,여성전용,100만원,45만원,1인실
오후3시 쉐어하우스,홍대점,남성전용,100만원,33만원,2인실
에덴 하우스,홍대점,여성전용,70만원,35만원,2인실
하루 쉐어하우스,신촌점,여성전용,45만원,45만원,1인실
코지 쉐어하우스,홍대입구역점,여성전용,102만원,51만원,1인실
바다,상암동 집 Room A,여성전용,88만원,44만원,3인실
플레몬 쉐어하우스,26호점,성별무관,50만원,45만원,1인실
다락,허밍하우스 안락한 1인실,성별무관,50만원,39만원,1인실
굿밤하우스,홍대입구점,여성전용,5만원,25만원,1인실
팸하우스,홍대입구점,여성전용,100만원,37만원,2인실
프렌즈,연남점,여성전용,106만원,53만원,1인실
(남성전용) 청춘시대,2호점,남성전용,31만원,31만원,4인실
자다,메이플 성신여대점,여성전용,90만원,45만원,1인실
엘리맘 쉐어하우스,이대점,여성전용,100만원,40만원,2인실
아이엠하우스,홍대 2호점,여성전용,80만원,51만원,1인실
피클하우스,피클하우스 4번방,성별무관,40만원,40만원,1인실
우주,93호점,여성전용,104만원,44만원,1인실
우주,94호점,남성전용,92만원,38만원,1인실
우주,95호점,여성전용,100만원,42만원,1인실
동거동락,26호 연남동점,여성전용,94만원,38만원,2인실
플레몬 쉐어하우스,1호점,성별무관,50만원,58만원,1인실
피츠 쉐어하우스,연남동 2호점,여성전용,48만원,48만원,1인실
잠자리,성신여대 : 5호점,여성전용,90만원,47만원,1인실
커먼타운,센트럴 261 301,여성전용,300만원,61만원,1인실
애즈홈 쉐어하우스,2호점,여성전용,90만원,45만원,1인실
잠자리,성신여대 : 9호점,여성전용,96만원,48만원,1인실
우주,62호점,여성전용,90만원,37만원,3인실
레피네하우스,명동1호점,여성전용,100만원,50만원,1인실
홈스케치,홍대2호점,여성전용,90만원,45만원,1인실
홈스케치,성신여대점,성별무관,76만원,38만원,2인실
우주,55호점,여성전용,104만원,44만원,1인실
'봄이와 여름이' 쉐어하우스,연남점,여성전용,112만원,52만원,1인실
I&U 쉐어하우스,홍대점,여성전용,100만원,45만원,2인실
핀휠 쉐어하우스,신촌점,여성전용,90만원,43만원,1인실
포코 쉐어하우스,홍대입구역점,여성전용,40만원,20만원,4인실
코방,길음역점,여성전용,110만원,43만원,2인실
원앤원하우스,길음역국민대_서경대점,여성전용,200만원,32만원,2인실
젤리 쉐어하우스,이대점,여성전용,600만원,39만원,1인실
호영이네 하우스,창신역점,여성전용,90만원,43만원,2인실
하늘,수유역2호점,여성전용,50만원,35만원,2인실
외갓집에가자 쉐어하우스,덕성여대점,여성전용,70만원,35만원,2인실
우주,24호점,남성전용,92만원,38만원,2인실
우주,12호점,여성전용,95만원,40만원,2인실
오희,고양점,여성전용,100만원,42만원,1인실
리어반(Re:Urban),홍대점,여성전용,50만원,45만원,1인실
사람앤하우스,미아점,여성전용,74만원,37만원,2인실
소담 쉐어하우스,홍대 1호점,여성전용,40만원,37만원,1인실
웨이브 쉐어하우스,홍대 1호점,여성전용,37만원,37만원,2인실
폼폼 쉐어하우스,돈암풍림점,여성전용,100만원,50만원,1인실
행복하셰어,홍대점,여성전용,38만원,38만원,2인실
이실디,홍대점,여성전용,72만원,36만원,2인실
스테이 펠릭스,충무로역점,성별무관,30만원,50만원,2인실
아띠 쉐어빌리지,단짠하우스 성신여대점,여성전용,50만원,36만원,2인실
홈스케치,서강대점,여성전용,90만원,45만원,1인실
하모하우스,서강대점,여성전용,100만원,40만원,2인실
하모하우스,서강대점,남성전용,100만원,38만원,2인실
나인,홍대점,여성전용,100만원,55만원,1인실
핀휠 쉐어하우스,신촌1호점,남성전용,80만원,33만원,3인실
포근해 쉐어하우스,마포구청점,여성전용,30만원,30만원,2인실
은행나무 쉐어하우스,홍대점,여성전용,0만원,50만원,2인실
우주,60호점,여성전용,88만원,36만원,2인실
Calm&Mood,숙대두번째 16호점,여성전용,100만원,44만원,1인실
핀휠 쉐어하우스,홍대/망원점,여성전용,80만원,33만원,2인실
메죵드몽드,안암점,여성전용,90만원,45만원,1인실
홈트리,성산점,남성전용,60만원,33만원,2인실
우주,64호점,여성전용,108만원,46만원,2인실
동거동락,13호 서울역점,여성전용,113만원,52만원,1인실
홈스케치,숙대점,여성전용,80만원,40만원,1인실
팸하우스,충무로점,여성전용,100만원,34만원,4인실
바다,성산동집 206호,성별무관,100만원,49만원,1인실
팸하우스,페퍼스하우스 충무로 1호점,여성전용,100만원,47만원,2인실
쉐어하우스 휴가,공덕역점,여성전용,85만원,43만원,2인실
제곱하우스,2호점,여성전용,150만원,52만원,1인실
네잎클로버 하우스,원미닛_마포구청역 스페셜,여성전용,102만원,51만원,1인실
자다,메리골드 후암1호점,여성전용,98만원,49만원,1인실
자다,메리골드 후암2호점,여성전용,110만원,55만원,1인실
소집,1호점,여성전용,90만원,43만원,2인실
소집,2호점,여성전용,90만원,45만원,2인실
모아네 쉐어하우스,마포구청역점,여성전용,50만원,45만원,2인실
소집,3호점,여성전용,90만원,45만원,2인실
아띠 쉐어빌리지,홍남하우스 홍대점,남성전용,50만원,35만원,4인실
아띠 쉐어빌리지,홍순하우스 홍대점,여성전용,50만원,35만원,4인실
