업체명,지점명,성별전용,보증금,월세,인실
함께꿈꾸는마을,남산소월01 Room A,남성전용,76만원,38만원,2인실
팸하우스,페퍼스하우스 충무로 2호점,여성전용,100만원,47만원,2인실
팸하우스,페퍼스하우스 충무로 5호점,여성전용,100만원,47만원,2인실
팸하우스,페퍼스하우스 충무로 4호점,여성전용,100만원,47만원,2인실
팸하우스,페퍼스하우스 충무로 3호점,남성전용,100만원,44만원,2인실
팸하우스,동대입구 4호점,여성전용,100만원,52만원,1인실
사람앤하우스,동묘점,여성전용,92만원,46만원,2인실
함께꿈꾸는마을,남산소월03 Room D,여성전용,80만원,40만원,2인실
쉐어하우스 신,공덕점,여성전용,96만원,48만원,2인실
바다,합정동집 2호 Room B (1인실),여성전용,110만원,55만원,1인실
일가 쉐어하우스,망원일가2-마포구청 102-2인실,여성전용,150만원,43만원,2인실
어울림,망원1호점,여성전용,100만원,35만원,2인실
아미띠에 쉐어하우스,마포점,여성전용,50만원,50만원,1인실
팸하우스,동대입구 1호점,남성전용,100만원,41만원,1인실
팸하우스,동대입구 2호점,여성전용,100만원,41만원,2인실
젤리 쉐어하우스,합정점,여성전용,600만원,33만원,2인실
Calm&Mood,숙대세번째 19호점,여성전용,100만원,48만원,1인실
일가 쉐어하우스,4호점,여성전용,150만원,45만원,2인실
포레스트(FOR REST),공덕역점,여성전용,116만원,52만원,1인실
일가 쉐어하우스,3호점,여성전용,150만원,45만원,2인실
어울림,합정4호점,여성전용,100만원,50만원,1인실
코코쉐어하우스,효창동점,여성전용,100만원,33만원,3인실
홈스케치,합정1호점,성별무관,90만원,45만원,1인실
Urban square,청파점,여성전용,90만원,46만원,1인실
동화,피클 공덕2호점,여성전용,100만원,35만원,1인실
어울림,합정2호점,여성전용,100만원,40만원,2인실
공감,광흥창역점,남성전용,120만원,60만원,1인실
폼폼 쉐어하우스,망원점,여성전용,100만원,50만원,1인실
메리골드 셰어하우스,망원역점,여성전용,50만원,45만원,1인실
브로콜리 하우스,망원 1호점,남성전용,50만원,48만원,1인실
CS 쉐어하우스,망원 1호점,여성전용,50만원,42만원,1인실
CS 쉐어하우스,망원 3호점,여성전용,50만원,42만원,1인실
CS 쉐어하우스,망원 4호점,여성전용,50만원,46만원,1인실
CS 쉐어하우스,망원 2호점,여성전용,50만원,32만원,2인실
팸하우스,상수점,여성전용,100만원,38만원,2인실
더합 쉐어하우스,합정점,여성전용,42만원,42만원,1인실
캑터스 하우스,망원점,남성전용,34만원,34만원,2인실
바운드쉐어,망원한강점,여성전용,100만원,55만원,1인실
제인스하우스,공덕점,여성전용,36만원,72만원,2인실
코잠,7호점,여성전용,76만원,38만원,2인실
잇츠하우스,합정점,여성전용,100만원,30만원,4인실
우주,56호점,여성전용,104만원,44만원,2인실
응답하라2018,합정망원 남성하우스 Room A,남성전용,74만원,37만원,2인실
응답하라2018,합정망원 여성하우스 여자2인실,여성전용,80만원,40만원,2인실
바운드쉐어,망원중앙점,여성전용,100만원,42만원,2인실
잠자리,마포구청 : 8호점,여성전용,86만원,43만원,1인실
드리밍 셰어하우스,마포구청점,남성전용,43만원,38만원,1인실
일가 쉐어하우스,망원일가 Room 102호,여성전용,100만원,39만원,2인실
MR. HOMES,홈즈스튜디오 원효로점,여성전용,60만원,60만원,1인실
홈스케치,합정3호점,성별무관,90만원,45만원,1인실
쉐어하우스 소망,합정점,여성전용,100만원,48만원,1인실
우주,73호점,여성전용,122만원,53만원,1인실
폼폼 쉐어하우스,합정점,여성전용,100만원,50만원,1인실
CS 쉐어하우스,합정점,여성전용,100만원,44만원,1인실
플레몬 쉐어하우스,30호점,성별무관,50만원,42만원,1인실
청년 쉐어하우스,합정점,남성전용,35만원,35만원,2인실
바다,마포동집 Room C,여성전용,102만원,51만원,1인실
젤리 쉐어하우스,망원점,여성전용,600만원,41만원,1인실
(남성전용) 청춘시대,1호점,남성전용,37만원,37만원,2인실
동거동락,34호점,여성전용,110만원,45만원,1인실
꽃송이가家,망원합정점,여성전용,82만원,41만원,2인실
플레몬 쉐어하우스,17호점,성별무관,50만원,38만원,1인실
꼬므,합정역 : 2호점,여성전용,90만원,45만원,2인실
우주,59호점,여성전용,91만원,34만원,2인실
우주,23호점,여성전용,106만원,53만원,1인실
워크 앤 리브,이태원 2호점,여성전용,124만원,54만원,1인실
워크 앤 리브,이태원 1호점,여성전용,120만원,52만원,1인실
우주,88호점,여성전용,120만원,51만원,1인실
원앤원하우스,월곡역동덕여대점,여성전용,150만원,34만원,2인실
하늘,고대 1호점,여성전용,50만원,30만원,2인실
달램쉐어하우스,고대3호점,남성전용,50만원,25만원,1인실
하늘,월곡역점,여성전용,50만원,45만원,1인실
우주,48호점,여성전용,100만원,42만원,2인실
우주,49호점,여성전용,100만원,42만원,2인실
플레몬 쉐어하우스,14호점,여성전용,30만원,30만원,3인실
하늘,고대 2호점,여성전용,50만원,40만원,2인실
휴플러스,고대점,여성전용,100만원,33만원,2인실
쉐어하우스 하루,고려대점,여성전용,36만원,36만원,2인실
마주봄 쉐어하우스,고대 7호점,여성전용,100만원,47만원,1인실
달램쉐어하우스,고대1호점,여성전용,1000만원,29만원,1인실
논스톱쉐어하우스,제기동점,남성전용,33만원,33만원,2인실
하늘,상월곡점,여성전용,50만원,30만원,3인실
잠자리,신금호 : 10호점,여성전용,70만원,35만원,2인실
왕십리 쉐어하우스,행당점,여성전용,60만원,45만원,1인실
젤리 쉐어하우스,왕십리점,여성전용,600만원,29만원,2인실
바다,당산 한강 집 Room B,여성전용,90만원,45만원,2인실
함께꿈꾸는마을,왕십리행당 Room C,여성전용,100만원,50만원,1인실
We Live,당산 2호점,여성전용,100만원,49만원,1인실
자다,패밀리 한남점,여성전용,78만원,39만원,2인실
서울쉐어하우스 공주,여의도점,여성전용,68만원,34만원,3인실
우리별 포디하우스,한남별 룸1(2인실),여성전용,100만원,32만원,2인실
우리별 포디하우스,선유도별 룸2 (2인실),여성전용,100만원,33만원,2인실
We Live,당산점,여성전용,100만원,50만원,1인실
휴먼,경희대점,여성전용,100만원,34만원,3인실
GROUND 쉐어하우스,왕십리 A room,여성전용,80만원,37만원,4인실
에이블하우스,왕십리 3호점,여성전용,300만원,43만원,2인실
마루 쉐어하우스,왕십리역점,여성전용,84만원,42만원,3인실
더 집 쉐어하우스,왕십리점,여성전용,50만원,35만원,2인실
쉐어하우스 청춘愛(애),여의도점,여성전용,100만원,49만원,1인실
쉐어하우스 고리,광운대점,여성전용,80만원,40만원,1인실
쉐어하우스 방긋,회기역점,여성전용,150만원,48만원,1인실
팸하우스,선유도역점,남성전용,100만원,38만원,1인실
원앤원하우스,경희대_외대점,여성전용,150만원,37만원,2인실
아띠 쉐어빌리지,브루하우스 영등포구청역점,성별무관,50만원,51만원,1인실
에이블하우스,회기5호점,여성전용,300만원,53만원,1인실
동거동락,12호 외대경희대점,여성전용,124만원,55만원,1인실
에이블하우스,회기8호점,여성전용,300만원,48만원,2인실
자몽 셰어하우스,노량진점,여성전용,300만원,42만원,1인실
쉐어필링스,노량진역 작은 1인실,여성전용,150만원,36만원,1인실
슬리퍼 쉐어하우스,신이문점,여성전용,104만원,47만원,1인실
뜰 쉐어하우스,영등포점,여성전용,70만원,39만원,2인실
우주,58호점,여성전용,118만원,51만원,1인실
우주,80호점,여성전용,114만원,49만원,1인실
동거동락,1호 중앙대점,여성전용,90만원,42만원,2인실
우주,57호점,여성전용,104만원,44만원,2인실
에덴 하우스,목동 염창역점,여성전용,50만원,25만원,2인실
별자리 쉐어하우스,장승배기점,남성전용,100만원,45만원,1인실
잠자리,영등포구청 : 11호점,여성전용,70만원,35만원,2인실
하늘,석계점,여성전용,50만원,20만원,2인실
단담하우스,중앙대점,여성전용,86만원,43만원,2인실
잠자리,영등포구청 : 17호점,남성전용,94만원,47만원,1인실
푸른언덕,중앙대점,여성전용,100만원,45만원,1인실
홈스케치,외대3호점,여성전용,90만원,45만원,1인실
커먼타운,압구정 022 Room C,여성전용,300만원,59만원,2인실
바다,외대 앞 집 Room A (3인실),여성전용,72만원,36만원,3인실
수니하우스,뚝섬역점,여성전용,100만원,54만원,1인실
Dream 쉐어하우스,영등포점,여성전용,70만원,35만원,3인실
우리별 포디하우스,등촌역점,여성전용,100만원,34만원,1인실
가든 쉐어하우스,태릉입구점,여성전용,70만원,30만원,2인실
팸하우스,뚝섬점,남성전용,100만원,31만원,4인실
룸앤,상도점,여성전용,80만원,40만원,2인실
제인스하우스,문래점,여성전용,66만원,34만원,2인실
바다,문래동집 2호 Room B,여성전용,86만원,43만원,2인실
JustChill7 쉐어하우스,신사점,남성전용,70만원,65만원,1인실
다락,주아하우스 #4 le monde,성별무관,50만원,35만원,1인실
슬리퍼 쉐어하우스,숭실점,여성전용,86만원,38만원,2인실
세이프헤븐,상도점,여성전용,100만원,48만원,1인실
스펙트럼 하우스,신사점,여성전용,130만원,55만원,1인실
스펙트럼 하우스,신사점,여성전용,183만원,81만원,1인실
여기쯤 쉐어하우스,여기쯤 신사1호점,여성전용,80만원,34만원,2인실
쉐어하우스 더뮤즈,신사역 가로수길점,여성전용,82만원,41만원,2인실
율 하우스,문래점,여성전용,74만원,37만원,2인실
쉐어필링스,숭실대점,여성전용,100만원,32만원,2인실
우주,46호점,여성전용,104만원,44만원,2인실
우주,44호점,남성전용,74만원,29만원,3인실
우주,38호점,여성전용,94만원,39만원,2인실
우주,37호점,여성전용,100만원,42만원,2인실
낭만,양천향교역점,여성전용,150만원,50만원,1인실
모아,문래역점,여성전용,110만원,55만원,1인실
여기쯤 쉐어하우스,여기쯤 신사3호점,여성전용,80만원,28만원,4인실
가로수 쉐어하우스,신사역점,여성전용,88만원,35만원,2인실
륜하우스,마곡점,여성전용,70만원,33만원,2인실
륜하우스,양천향교점,여성전용,70만원,38만원,2인실
Singles ( 싱글즈 ),신사점,여성전용,200만원,57만원,1인실
우주,96호점,남성전용,82만원,33만원,3인실
쉐어하우스 까사,숭실대점,여성전용,80만원,47만원,1인실
쉐어하우스 까사,숭실대2호점,여성전용,80만원,47만원,1인실
GROUND 쉐어하우스,강남 Room B,여성전용,100만원,49만원,2인실
로뎀나무,Joy하우스 논현점,여성전용,80만원,33만원,2인실
소행주 특집,장안동점,여성전용,150만원,39만원,1인실
마주공간 쉐어하우스,논현2호점,여성전용,110만원,53만원,1인실
복덕방,압구정 1호점,여성전용,90만원,57만원,1인실
복덕방,논현2호점,여성전용,80만원,47만원,1인실
MOVHOUSE,논현2호점,여성전용,100만원,47만원,2인실
선녀방,신대방점,여성전용,60만원,33만원,2인실
장안생활,장한평점,성별무관,1000만원,52만원,1인실
자몽 셰어하우스,상도점,여성전용,300만원,30만원,2인실
세렘 쉐어하우스,신대방점,여성전용,100만원,38만원,1인실
에이블하우스,성수 2호점,여성전용,300만원,42만원,2인실
품안의 새,인셉션_신대방3거리역 Room ImP,여성전용,56만원,28만원,2인실
제인스하우스,신도림점,여성전용,70만원,35만원,2인실
양드레하우스,논현점,여성전용,100만원,55만원,1인실
쉐어하우스 여행가,관악점,여성전용,100만원,52만원,1인실
쉐어하우스 하슈,서울대입구/숭실대점,성별무관,70만원,35만원,2인실
쉐어반,논현역점,여성전용,114만원,57만원,1인실
MOVHOUSE,논현점,여성전용,100만원,40만원,2인실
잠자리,논현역 : 26호점,여성전용,114만원,57만원,1인실
LUMOS HOUSE,논현1호점,여성전용,100만원,45만원,2인실
테라스107,테라스107 Room 1,여성전용,70만원,70만원,1인실
복덕방,논현1호점,여성전용,100만원,57만원,1인실
강남다방 쉐어하우스,신논현점,여성전용,100만원,50만원,1인실
팸하우스,에이치홈_신림점,여성전용,100만원,45만원,1인실
동그라미 쉐어하우스,청담 2호점,성별무관,50만원,38만원,1인실
륜하우스,발산역점,여성전용,70만원,35만원,2인실
복덕방,학동역1호점,여성전용,50만원,43만원,1인실
동그라미 쉐어하우스,논현2호점,남성전용,50만원,30만원,1인실
더 하임 쉐어하우스,청담점,여성전용,200만원,57만원,1인실
우주,27호점,여성전용,106만원,53만원,1인실
복덕방,청담동1호점,여성전용,100만원,53만원,1인실
하피스,학동역점,여성전용,100만원,48만원,2인실
(남성전용)라임 스페이스,반포점,남성전용,100만원,41만원,2인실
